Año Censal,Entidad,Municipio,Actividad económica,UE Unidades económicas
2023,28 Tamaulipas,007 Camargo,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",4
2023,28 Tamaulipas,007 Camargo,Sector 62 Servicios de salud y de asistencia social,47
2023,28 Tamaulipas,007 Camargo,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",7
2023,28 Tamaulipas,007 Camargo,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,110
2023,28 Tamaulipas,007 Camargo,Sector 81 Otros servicios excepto actividades gubernamentales,148
2023,28 Tamaulipas,008 Casas,Total municipal,43
2023,28 Tamaulipas,008 Casas,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1
2023,28 Tamaulipas,008 Casas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2023,28 Tamaulipas,008 Casas,Sector 31-33 Industrias manufactureras,3
2023,28 Tamaulipas,008 Casas,Sector 43 Comercio al por mayor,1
2023,28 Tamaulipas,008 Casas,Sector 46 Comercio al por menor,25
2023,28 Tamaulipas,008 Casas,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,7
2023,28 Tamaulipas,008 Casas,Sector 81 Otros servicios excepto actividades gubernamentales,5
2023,28 Tamaulipas,009 Ciudad Madero,Total municipal,6321
2023,28 Tamaulipas,009 Ciudad Madero,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",27
2023,28 Tamaulipas,009 Ciudad Madero,Sector 21 Minería,1
2023,28 Tamaulipas,009 Ciudad Madero,Sector 23 Construcción,42
2023,28 Tamaulipas,009 Ciudad Madero,Sector 31-33 Industrias manufactureras,471
2023,28 Tamaulipas,009 Ciudad Madero,Sector 43 Comercio al por mayor,117
2023,28 Tamaulipas,009 Ciudad Madero,Sector 46 Comercio al por menor,2337
2023,28 Tamaulipas,009 Ciudad Madero,"Sector 48-49 Transportes, correos y almacenamiento",31
2023,28 Tamaulipas,009 Ciudad Madero,Sector 52 Servicios financieros y de seguros,45
2023,28 Tamaulipas,009 Ciudad Madero,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,118
2023,28 Tamaulipas,009 Ciudad Madero,"Sector 54 Servicios profesionales, científicos y técnicos",142
2023,28 Tamaulipas,009 Ciudad Madero,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",61
2023,28 Tamaulipas,009 Ciudad Madero,Sector 61 Servicios educativos,166
2023,28 Tamaulipas,009 Ciudad Madero,Sector 62 Servicios de salud y de asistencia social,428
2023,28 Tamaulipas,009 Ciudad Madero,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",125
2023,28 Tamaulipas,009 Ciudad Madero,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1075
2023,28 Tamaulipas,009 Ciudad Madero,Sector 81 Otros servicios excepto actividades gubernamentales,1135
2023,28 Tamaulipas,010 Cruillas,Total municipal,48
2023,28 Tamaulipas,010 Cruillas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2023,28 Tamaulipas,010 Cruillas,Sector 31-33 Industrias manufactureras,5
2023,28 Tamaulipas,010 Cruillas,Sector 43 Comercio al por mayor,3
2023,28 Tamaulipas,010 Cruillas,Sector 46 Comercio al por menor,26
2023,28 Tamaulipas,010 Cruillas,Sector 62 Servicios de salud y de asistencia social,1
2023,28 Tamaulipas,010 Cruillas,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5
2023,28 Tamaulipas,010 Cruillas,Sector 81 Otros servicios excepto actividades gubernamentales,7
2023,28 Tamaulipas,011 Gómez Farías,Total municipal,170
2023,28 Tamaulipas,011 Gómez Farías,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1
2023,28 Tamaulipas,011 Gómez Farías,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2023,28 Tamaulipas,011 Gómez Farías,Sector 31-33 Industrias manufactureras,22
2023,28 Tamaulipas,011 Gómez Farías,Sector 43 Comercio al por mayor,3
2023,28 Tamaulipas,011 Gómez Farías,Sector 46 Comercio al por menor,68
2023,28 Tamaulipas,011 Gómez Farías,"Sector 48-49 Transportes, correos y almacenamiento",1
2023,28 Tamaulipas,011 Gómez Farías,Sector 52 Servicios financieros y de seguros,1
