Año Censal,Entidad,Actividad económica,Q000A Acervo total de activos fijos (millones de pesos),A221A Formación bruta de capital fijo (millones de pesos),A211A Inversión total (millones de pesos),A121A Consumo intermedio (millones de pesos),H001A Personal ocupado total,A111A Producción bruta total (millones de pesos),A131A Valor agregado censal bruto (millones de pesos)
2003,00 Total Nacional,Sector 61 Servicios educativos,48349.946,5560.734,6056.465,18301.002,517958,72103.819,53802.817
2003,00 Total Nacional,Sector 62 Servicios de salud y de asistencia social,34073.532,2362.122,2541.769,21037.409,355169,43697.14,22659.731
2003,00 Total Nacional,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",24494.732,969.732,1125.996,12106.016,143589,23391.561,11285.545
2003,00 Total Nacional,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,116939.855,4728.285,5919.185,96638.747,1218262,160277.859,63639.112
2003,00 Total Nacional,Sector 81 Otros servicios excepto actividades gubernamentales,58687.251,2433.987,3079.827,46251.055,941749,94345.306,48094.251
2003,28 Tamaulipas,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",595.11,41.724,41.724,467.899,7519,932.418,464.519
2003,28 Tamaulipas,Sector 21 Minería,19931.599,42.384,76.747,914.389,6596,25341.004,24426.615
2003,28 Tamaulipas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",33119.401,7655.374,7708.379,10400.302,8233,16439.577,6039.275
2003,28 Tamaulipas,Sector 23 Construcción,1481.704,101.329,139.227,3808.947,28266,6049.334,2240.387
2003,28 Tamaulipas,Sector 31-33 Industrias manufactureras,37750.322,4043.556,8363.98,58345.971,211921,96277.896,37931.925
2003,28 Tamaulipas,Sector 43 Comercio al por mayor,7007.225,245.712,488.59,3748.908,27204,10628.623,6879.715
2003,28 Tamaulipas,Sector 46 Comercio al por menor,8051.845,427.09,1192.868,4668.041,129274,16474.64,11806.599
2003,28 Tamaulipas,"Sector 48-49 Transportes, correos y almacenamiento",6524.753,627.924,638.8,5092.203,24333,9994.676,4902.473
2003,28 Tamaulipas,Sector 51 Información en medios masivos,2625.858,149.952,180.324,1557.46,6710,2725.835,1168.375
2003,28 Tamaulipas,Sector 52 Servicios financieros y de seguros,147.793,13.476,15.422,292.207,1931,659.363,367.156
2003,28 Tamaulipas,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,6404.158,606.944,558.605,910.865,6086,2212.004,1301.139
2003,28 Tamaulipas,"Sector 54 Servicios profesionales, científicos y técnicos",1956.386,361.907,363.096,1161.248,9179,3154.653,1993.405
2003,28 Tamaulipas,Sector 55 Dirección y administración de grupos empresariales o corporativos,20.323,2.542,2.542,117.252,4965,587.214,469.962
2003,28 Tamaulipas,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",554.213,56.849,55.36,1512.369,18421,3001.039,1488.67
2003,28 Tamaulipas,Sector 61 Servicios educativos,1046.679,76.55,78.148,444.961,14921,1772.508,1327.547
2003,28 Tamaulipas,Sector 62 Servicios de salud y de asistencia social,937.993,33.789,34.646,499.422,9716,1145.697,646.275
2003,28 Tamaulipas,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",377.592,8.912,9.906,249.908,2429,473.573,223.665
2003,28 Tamaulipas,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3135.405,104.851,166.488,2741.372,38288,4939.018,2197.646
2003,28 Tamaulipas,Sector 81 Otros servicios excepto actividades gubernamentales,2293.18,109.694,117.655,2114.257,33215,3047.909,933.652
